Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron
2018-05-02,Lunch,532.0,25.0,9.1,6.2,1.8,0.0,384.0,327.1,413.0,30.8,25.4,19.0,39.5,33.5,117.0,13.3,29.0
2018-05-02,Dinner,2080.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
2018-05-02,Snack,227.4,3.7,2.1,0.0,0.0,0.0,0.0,126.3,84.5,39.7,3.6,13.7,7.1,0.0,4.9,0.9,4.6
2018-05-11,Lunch,318.8,6.7,0.8,2.6,3.0,0.0,0.0,100.0,375.0,26.8,1.2,22.0,36.9,3.1,3.1,40.6,0.0
2018-05-11,Dinner,1052.2,33.2,4.9,2.0,4.0,0.0,0.0,336.0,1971.0,112.4,19.5,62.7,82.0,42.5,497.1,54.7,16.2
2018-05-11,Snack,390.0,13.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,60.6,4.2,38.8,5.3,0.0,0.0,0.0,0.0
2018-05-12,Lunch,899.5,49.7,13.4,12.3,7.8,0.3,31.8,487.4,1176.0,65.2,6.5,11.2,65.9,0.0,0.0,22.5,0.0
2018-05-12,Dinner,675.4,34.0,12.3,2.0,4.0,0.0,0.0,311.2,299.3,8.5,0.2,2.2,22.7,0.0,0.0,3.4,6.7
2018-05-12,Snack,89.5,2.7,1.2,0.0,0.0,0.0,0.0,75.0,0.0,1.4,11.6,1.2,9.9,0.0,0.0,0.0,0.0
2018-05-12,Pre/postworkout,432.1,4.0,2.0,0.2,0.7,0.0,10.0,201.8,778.0,48.6,4.7,33.0,55.0,1.9,28.2,39.1,2.6
2018-05-13,Lunch,774.2,21.1,8.6,1.9,1.6,0.0,0.0,770.2,589.1,54.7,9.6,26.8,87.2,3.8,18.7,107.2,1.3
2018-05-13,Dinner,733.9,17.7,4.3,0.1,0.1,0.0,0.0,1260.5,432.0,68.8,6.2,30.5,73.5,3.6,15.1,40.6,1.0
